"LocationId","EffectiveStartDate","EffectiveEndDate","LocationCode","LocationName","ActiveStatus","CountryCode","CountryName","Region1","Region2","TownOrCity","PostalCode","SetId","SetCode","SetName","SingleLineAddress"
300000230198862,"1951-01-01","4712-12-31","2255","DS - Odienne, Cote D'Ivoire","A","CI","Cote d'Ivoire",,,"Odienne",,0,"COMMON","Common Set","NA, ODIENNE, COTE D'IVOIRE"
300000230203917,"1951-01-01","4712-12-31","7067","DS - Oecussi Ambeno, Timor-Leste","A","TL","Timor-Leste",,,"Oecussi Ambeno",,0,"COMMON","Common Set","NA, OECUSSI AMBENO, TIMOR-LESTE"
300000230203537,"1951-01-01","4712-12-31","5755","DS - Oftringen, Switzerland","A","CH","Switzerland",," ","Oftringen",,0,"COMMON","Common Set","NA, Oftringen,  , , Switzerland"
300000230193720,"1951-01-01","4712-12-31","1415","DS - Ogaden, Ethiopia","A","ET","Ethiopia",,,"Ogaden",,0,"COMMON","Common Set","NA, OGADEN, ETHIOPIA"
300000230203724,"1951-01-01","4712-12-31","6984","DS - Ohangwena, Namibia","A","NA","Namibia",,,"Ohangwena",,0,"COMMON","Common Set","NA, OHANGWENA, NAMIBIA"
300000230203948,"1951-01-01","4712-12-31","698H","DS - Okanjera, Namibia","A","NA","Namibia",,,"Okanjera",,0,"COMMON","Common Set","NA, OKANJERA, NAMIBIA"
300000230199122,"1951-01-01","4712-12-31","297AI","DS - Okhaldhunga, Nepal","A","NP","Nepal",,,"Okhaldhunga",,0,"COMMON","Common Set","NA, OKHALDHUNGA, NEPAL"
300000230204409,"1951-01-01","4712-12-31","6985","DS - Okongo, Namibia","A","NA","Namibia",,,"Okongo",,0,"COMMON","Common Set","NA, OKONGO, NAMIBIA"
300000230205055,"1951-01-01","4712-12-31","698I","DS - Omatako, Namibia","A","NA","Namibia",,,"Omatako",,0,"COMMON","Common Set","NA, OMATAKO, NAMIBIA"
300000230203898,"1951-01-01","4712-12-31","6986","DS - Ombalantu, Namibia","A","NA","Namibia",,,"Ombalantu",,0,"COMMON","Common Set","NA, OMBALANTU, NAMIBIA"
300000230204106,"1951-01-01","4712-12-31","6987","DS - Ondangwa, Namibia","A","NA","Namibia",,,"Ondangwa",,0,"COMMON","Common Set","NA, ONDANGWA, NAMIBIA"
300000230194092,"1951-01-01","4712-12-31","0250","DS - Oranjestad (Aruba), Aruba","A","AW","Aruba",,,"Oranjestad (Aruba)",,0,"COMMON","Common Set","NA, ORANJESTAD (ARUBA), ARUBA"
300000230194417,"1951-01-01","4712-12-31","053I","DS - Orasje, Bosnia and Herzegovina","A","BA","Bosnia and Herzegovina",,"Federacija Bosne i Hercegovine","Orasje",,0,"COMMON","Common Set","NA, ORASJE FEDERACIJA BOSNE I HERCEGOVINE, BOSNIA AND HERZEGOVINA"
300000230195743,"1951-01-01","4712-12-31","093DC","DS - Orito, Colombia","A","CO","Colombia",,,"Orito",,0,"COMMON","Common Set","NA, Orito, COLOMBIA"
300000230202718,"1951-01-01","4712-12-31","204CW","DS - Oros, India","A","IN","India",,"Maharashtra","Oros",,0,"COMMON","Common Set","NA, OROS, Maharashtra, INDIA"
