"OrganizationId","EffectiveStartDate","EffectiveEndDate","Name","Title","Status","LocationId","LocationCode","LocationName","SetId","SetCode","SetName"
300000235499461,"1951-01-01","4712-12-31","Angola - HIV/AIDS",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235503990,"1951-01-01","4712-12-31","Angola - Human Resources",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235670542,"1951-01-01","4712-12-31","Angola - ICT",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235512653,"1951-01-01","4712-12-31","Angola - ICT for Development",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235487563,"1951-01-01","4712-12-31","Angola - Poverty Reduction",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235504732,"1951-01-01","4712-12-31","Angola - Procmnt & Travel",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508467,"1951-01-01","4712-12-31","Angola - Service Center",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508073,"1951-01-01","4712-12-31","Angola - UN Dev Coord",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235504816,"1951-01-01","4712-12-31","Angola-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235515336,"1951-01-01","4712-12-31","Anguilla - Cty Pgmm",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235520399,"1951-01-01","4712-12-31","Antigua - Cty Pgmm",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235496923,"1951-01-01","4712-12-31","Antigua-UN Sister Agency",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235508896,"1951-01-01","4712-12-31","APRC/Activities in Cambodia",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235499160,"1951-01-01","4712-12-31","APRC/Activities in China",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235493938,"1951-01-01","4712-12-31","APRC/Activities in Indonesia",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235495360,"1951-01-01","4712-12-31","APRC/Activities in LAO",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235519600,"1951-01-01","4712-12-31","APRC/Activities in Mongolia",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235512775,"1951-01-01","4712-12-31","APRC/Activities in Myanmar",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235489814,"1951-01-01","4712-12-31","APRC/Activities in Sri Lanka",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235490269,"1951-01-01","4712-12-31","APRC/Activities in Vietnam",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235491573,"1951-01-01","4712-12-31","APRC/Administrative Unit",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235504447,"1951-01-01","4712-12-31","APRC/Capacity Development",,"A",,,,300000229588821,"UNDP","UNDP Set"
300000235511896,"1951-01-01","4712-12-31","APRC/Crisis Prevent&Recovery",,"A",,,,300000229588821,"UNDP","UNDP Set"
