"SalaryBasisName","SalaryBasisId","FrequencyCode","FrequencyName","Code","Status","SalaryBasisType","ComponentUsage","AnnualizationFactor","SalaryAmountScale","GradeRateId","InputCurrencyCode","ElementTypeId","LegislativeDataGroupId","UseAtRelationshipLevel","UseAtTermsLevel","UseAtAssignmentLevel"
"International PSA UNU US USD Salary Basis",300000232389950,"ANNUAL","Annually","UN2P","A","U","NO_COMPONENT",1,2,300000231000443,"USD",300000231588321,300000002583089,"N","N","Y"
"International PSA UNU USD Salary Basis",300000232389953,"ANNUAL","Annually","UNUP","A","U","NO_COMPONENT",1,2,300000230829757,"USD",300000231588321,300000002583089,"N","N","Y"
"International PSA USD Salary Basis",300000232393394,"ANNUAL","Annually","UPSM","A","U","NO_COMPONENT",1,2,300000231060807,"USD",300000231588321,300000002583089,"N","N","Y"
"International Professional USD Salary Basis",300000232392719,"ANNUAL","Annually","UUUP","A","U","NO_COMPONENT",1,2,300000230765202,"USD",300000231685694,300000002583089,"N","N","Y"
"International Volunteer Expert USD Salary Basis",300000232394129,"ANNUAL","Annually","UIV2","A","U","NO_COMPONENT",1,2,300000230762388,"USD",300000231605164,300000002583089,"N","N","Y"
"International Volunteer Specialist USD Salary Basis",300000232389970,"ANNUAL","Annually","UIVW","A","U","NO_COMPONENT",1,2,300000230963225,"USD",300000231605164,300000002583089,"N","N","Y"
"International Volunteer Youth USD Salary Basis",300000232389989,"ANNUAL","Annually","UIVB","A","U","NO_COMPONENT",1,2,300000230758620,"USD",300000231605164,300000002583089,"N","N","Y"
"International Volunteer Youth University USD Salary Basis",300000232389940,"ANNUAL","Annually","UIVC","A","U","NO_COMPONENT",1,2,300000230778177,"USD",300000231605164,300000002583089,"N","N","Y"
"National GS AE AED Salary Basis",300000232393183,"ANNUAL","Annually","AREG","A","U","NO_COMPONENT",1,2,300000230963128,"AED",300000231352117,300000002583089,"N","N","Y"
"National GS AF USD Salary Basis",300000232393680,"ANNUAL","Annually","AFGG","A","U","NO_COMPONENT",1,2,300000230940243,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS AL ALL Salary Basis",300000232391766,"ANNUAL","Annually","ALBG","A","U","NO_COMPONENT",1,2,300000231054699,"ALL",300000231530575,300000002583089,"N","N","Y"
"National GS AM AMD Salary Basis <01/07/19",300000232394231,"ANNUAL","Annually","ARMG","A","U","NO_COMPONENT",1,2,300000230957207,"AMD",300000231536219,300000002583089,"N","N","Y"
"National GS AO USD Salary Basis",300000232392397,"ANNUAL","Annually","AGOG","A","U","NO_COMPONENT",1,2,300000231088784,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS AR ARS Salary Basis",300000232392664,"ANNUAL","Annually","ARGG","A","U","NO_COMPONENT",1,2,300000231007492,"ARS",300000231542248,300000002583089,"N","N","Y"
"National GS AT EUR Salary Basis",300000232394247,"ANNUAL","Annually","AUTG","A","U","NO_COMPONENT",1,2,300000230924029,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS AU AUD Salary Basis",300000232392769,"ANNUAL","Annually","AUSG","A","U","NO_COMPONENT",1,2,300000230901065,"AUD",300000231308562,300000002583089,"N","N","Y"
"National GS AZ AZN Salary Basis",300000232390332,"ANNUAL","Annually","AZEG","A","U","NO_COMPONENT",1,2,300000230883760,"AZN",300000231208805,300000002583089,"N","N","Y"
"National GS BA BAM Salary Basis",300000232391792,"ANNUAL","Annually","BIHG","A","U","NO_COMPONENT",1,2,300000231068515,"BAM",300000231249903,300000002583089,"N","N","Y"
"National GS BB BBD Salary Basis <01/09/12",300000232394398,"ANNUAL","Annually","BRBG","A","U","NO_COMPONENT",1,2,300000230812393,"BBD",300000231567130,300000002583089,"N","N","Y"
"National GS BD BDT Salary Basis",300000232389899,"ANNUAL","Annually","BGDG","A","U","NO_COMPONENT",1,2,300000230871056,"BDT",300000231308594,300000002583089,"N","N","Y"
"National GS BE EUR Salary Basis",300000232389768,"ANNUAL","Annually","BELG","A","U","NO_COMPONENT",1,2,300000231091707,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS BF XOF Salary Basis",300000232390080,"ANNUAL","Annually","BFAG","A","U","NO_COMPONENT",1,2,300000230845651,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS BG BGN Salary Basis",300000232393023,"ANNUAL","Annually","BG2G","A","U","NO_COMPONENT",1,2,300000231068030,"BGN",300000231592505,300000002583089,"N","N","Y"
"National GS BG BGN Salary Basis <01/08/20",300000232391754,"ANNUAL","Annually","BGRG","A","U","NO_COMPONENT",1,2,300000230811905,"BGN",300000231592505,300000002583089,"N","N","Y"
"National GS BH BHD Salary Basis",300000232394218,"ANNUAL","Annually","BH2G","A","U","NO_COMPONENT",1,2,300000230954966,"BHD",300000231395874,300000002583089,"N","N","Y"
"National GS BI BIF Salary Basis",300000232393007,"ANNUAL","Annually","BDIG","A","U","NO_COMPONENT",1,2,300000230908778,"BIF",300000231278921,300000002583089,"N","N","Y"
"National GS BJ XOF Salary Basis",300000232392791,"ANNUAL","Annually","BENG","A","U","NO_COMPONENT",1,2,300000230972732,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS BO BOB Salary Basis",300000232393614,"ANNUAL","Annually","BOLG","A","U","NO_COMPONENT",1,2,300000230858892,"BOB",300000231581230,300000002583089,"N","N","Y"
"National GS BR BRL Salary Basis",300000232393397,"ANNUAL","Annually","BRAG","A","U","NO_COMPONENT",1,2,300000231102442,"BRL",300000231395652,300000002583089,"N","N","Y"
"National GS BT BTN Salary Basis",300000232393218,"ANNUAL","Annually","BTNG","A","U","NO_COMPONENT",1,2,300000230978430,"BTN",300000231411521,300000002583089,"N","N","Y"
"National GS BW BWP Salary Basis",300000232391966,"ANNUAL","Annually","BWAG","A","U","NO_COMPONENT",1,2,300000230852067,"BWP",300000231542445,300000002583089,"N","N","Y"
"National GS BY USD Salary Basis",300000232389964,"ANNUAL","Annually","BLRG","A","U","NO_COMPONENT",1,2,300000230790533,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS BZ BZD Salary Basis",300000232391953,"ANNUAL","Annually","BLZG","A","U","NO_COMPONENT",1,2,300000230781683,"BZD",300000231660692,300000002583089,"N","N","Y"
"National GS CA MTR CAD Salary Basis",300000232392725,"ANNUAL","Annually","CANG","A","U","NO_COMPONENT",1,2,300000230764677,"CAD",300000231620585,300000002583089,"N","N","Y"
"National GS CA TOR CAD Salary Basis",300000232392903,"ANNUAL","Annually","CA2G","A","U","NO_COMPONENT",1,2,300000230964906,"CAD",300000231620585,300000002583089,"N","N","Y"
"National GS CD USD Salary Basis",300000232393443,"ANNUAL","Annually","CODG","A","U","NO_COMPONENT",1,2,300000230979717,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS CF XOF Salary Basis",300000232393307,"ANNUAL","Annually","CAFG","A","U","NO_COMPONENT",1,2,300000231006545,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS CG XOF Salary Basis",300000232393368,"ANNUAL","Annually","CO2G","A","U","NO_COMPONENT",1,2,300000230874520,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS CG XOF Salary Basis <01/11/20",300000232394419,"ANNUAL","Annually","COGG","A","U","NO_COMPONENT",1,2,300000231052496,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS CH CHF Salary Basis",300000232392608,"ANNUAL","Annually","CHEG","A","U","NO_COMPONENT",1,2,300000230820815,"CHF",300000231338708,300000002583089,"N","N","Y"
"National GS CI XOF Salary Basis",300000232393269,"ANNUAL","Annually","CIVG","A","U","NO_COMPONENT",1,2,300000230901317,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS CL CLP Salary Basis",300000232390125,"ANNUAL","Annually","CHLG","A","U","NO_COMPONENT",1,2,300000231023095,"CLP",300000231605795,300000002583089,"N","N","Y"
"National GS CM XOF Salary Basis",300000232393778,"ANNUAL","Annually","CMRG","A","U","NO_COMPONENT",1,2,300000230781992,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS CN CNY Salary Basis",300000232392829,"ANNUAL","Annually","CHNG","A","U","NO_COMPONENT",1,2,300000230808278,"CNY",300000231395840,300000002583089,"N","N","Y"
"National GS CO COP Salary Basis",300000232392986,"ANNUAL","Annually","COLG","A","U","NO_COMPONENT",1,2,300000230856671,"COP",300000231698327,300000002583089,"N","N","Y"
"National GS CR CRC Salary Basis",300000232391672,"ANNUAL","Annually","CR2G","A","U","NO_COMPONENT",1,2,300000230940867,"CRC",300000231208860,300000002583089,"N","N","Y"
"National GS CR CRC Salary Basis <01/11/20",300000232392150,"ANNUAL","Annually","CRIG","A","U","NO_COMPONENT",1,2,300000231084021,"CRC",300000231208860,300000002583089,"N","N","Y"
"National GS CU USD Salary Basis",300000232393955,"ANNUAL","Annually","CUBG","A","U","NO_COMPONENT",1,2,300000230848914,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS CV CVE Salary Basis",300000232393927,"ANNUAL","Annually","CP2G","A","U","NO_COMPONENT",1,2,300000230893357,"CVE",300000231542253,300000002583089,"N","N","Y"
"National GS CV CVE Salary Basis <01/04/16",300000232394054,"ANNUAL","Annually","CPVG","A","U","NO_COMPONENT",1,2,300000230895206,"CVE",300000231542253,300000002583089,"N","N","Y"
"National GS CY EUR Salary Basis",300000232393681,"ANNUAL","Annually","CY2G","A","U","NO_COMPONENT",1,2,300000230995660,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS CY EUR Salary Basis <01/06/18",300000232392846,"ANNUAL","Annually","CYPG","A","U","NO_COMPONENT",1,2,300000230908535,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS CZ CZK Salary Basis",300000232389862,"ANNUAL","Annually","CZEG","A","U","NO_COMPONENT",1,2,300000231023789,"CZK",300000231573670,300000002583089,"N","N","Y"
"National GS DE EUR Salary Basis",300000232392005,"ANNUAL","Annually","DEUG","A","U","NO_COMPONENT",1,2,300000231096718,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS DJ DJF Salary Basis",300000232393622,"ANNUAL","Annually","DJIG","A","U","NO_COMPONENT",1,2,300000230824235,"DJF",300000231545274,300000002583089,"N","N","Y"
"National GS DK DKK Salary Basis",300000232392592,"ANNUAL","Annually","DNKG","A","U","NO_COMPONENT",1,2,300000231088952,"DKK",300000231309328,300000002583089,"N","N","Y"
"National GS DO DOP Salary Basis",300000232392334,"ANNUAL","Annually","DOMG","A","U","NO_COMPONENT",1,2,300000230839193,"DOP",300000231293853,300000002583089,"N","N","Y"
"National GS DZ DZD Salary Basis",300000232393744,"ANNUAL","Annually","DZAG","A","U","NO_COMPONENT",1,2,300000231085477,"DZD",300000231250638,300000002583089,"N","N","Y"
"National GS EC USD Salary Basis",300000232394114,"ANNUAL","Annually","EC2G","A","U","NO_COMPONENT",1,2,300000230999982,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS EC USD Salary Basis <01/09/18",300000232394098,"ANNUAL","Annually","ECUG","A","U","NO_COMPONENT",1,2,300000230909492,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS EE EUR Salary Basis",300000232389968,"ANNUAL","Annually","ESTG","A","U","NO_COMPONENT",1,2,300000230913755,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS EG EGP Salary Basis",300000232393536,"ANNUAL","Annually","EGYG","A","U","NO_COMPONENT",1,2,300000230979026,"EGP",300000231264773,300000002583089,"N","N","Y"
"National GS ER ERN Salary Basis",300000232390283,"ANNUAL","Annually","ERIG","A","U","NO_COMPONENT",1,2,300000230812347,"ERN",300000231440199,300000002583089,"N","N","Y"
"National GS ES EUR Salary Basis",300000232394028,"ANNUAL","Annually","ESPG","A","U","NO_COMPONENT",1,2,300000231066568,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS ET USD Salary Basis",300000232392655,"ANNUAL","Annually","ETHG","A","U","NO_COMPONENT",1,2,300000231048059,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS EX XCD Salary Basis",300000232391848,"ANNUAL","Annually","ECSG","A","U","NO_COMPONENT",1,2,300000230837872,"XCD",300000231400557,300000002583089,"N","N","Y"
"National GS FI EUR Salary Basis",300000232392687,"ANNUAL","Annually","FING","A","U","NO_COMPONENT",1,2,300000230878862,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS FJ FJD Salary Basis",300000232394390,"ANNUAL","Annually","FJIG","A","U","NO_COMPONENT",1,2,300000230921985,"FJD",300000231353379,300000002583089,"N","N","Y"
"National GS FM USD Salary Basis",300000232391708,"ANNUAL","Annually","FSMG","A","U","NO_COMPONENT",1,2,300000230962816,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS FR LIO EUR Salary Basis",300000232391676,"ANNUAL","Annually","FRAG","A","U","NO_COMPONENT",1,2,300000231097557,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS FR PAR EUR Salary Basis",300000232392094,"ANNUAL","Annually","FR3G","A","U","NO_COMPONENT",1,2,300000231050147,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS FR PAR EUR Salary Basis <01/01/00",300000232393246,"ANNUAL","Annually","FR2G","A","U","NO_COMPONENT",1,2,300000231046530,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS GA XOF Salary Basis",300000232393180,"ANNUAL","Annually","GABG","A","U","NO_COMPONENT",1,2,300000230961441,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS GB GBP Salary Basis",300000232393649,"ANNUAL","Annually","GBRG","A","U","NO_COMPONENT",1,2,300000230826348,"GBP",300000231426199,300000002583089,"N","N","Y"
"National GS GE GEL Salary Basis",300000232391467,"ANNUAL","Annually","GEOG","A","U","NO_COMPONENT",1,2,300000230877028,"GEL",300000231264496,300000002583089,"N","N","Y"
"National GS GH GHS Salary Basis",300000232393164,"ANNUAL","Annually","GHAG","A","U","NO_COMPONENT",1,2,300000231059985,"GHS",300000231640311,300000002583089,"N","N","Y"
"National GS GM GMD Salary Basis",300000232392621,"ANNUAL","Annually","GMBG","A","U","NO_COMPONENT",1,2,300000231070587,"GMD",300000231378908,300000002583089,"N","N","Y"
"National GS GN GNF Salary Basis",300000232392124,"ANNUAL","Annually","GING","A","U","NO_COMPONENT",1,2,300000230843078,"GNF",300000231647258,300000002583089,"N","N","Y"
"National GS GQ XOF Salary Basis",300000232391929,"ANNUAL","Annually","GNQG","A","U","NO_COMPONENT",1,2,300000230776297,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS GR EUR Salary Basis",300000232392428,"ANNUAL","Annually","GRCG","A","U","NO_COMPONENT",1,2,300000230861898,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS GT GTQ Salary Basis",300000232393745,"ANNUAL","Annually","GT2G","A","U","NO_COMPONENT",1,2,300000230827401,"GTQ",300000231687041,300000002583089,"N","N","Y"
"National GS GT GTQ Salary Basis <01/09/15",300000232392043,"ANNUAL","Annually","GTMG","A","U","NO_COMPONENT",1,2,300000230787348,"GTQ",300000231687041,300000002583089,"N","N","Y"
"National GS GW XOF Salary Basis",300000232391734,"ANNUAL","Annually","GNBG","A","U","NO_COMPONENT",1,2,300000231003763,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS GY GYD Salary Basis",300000232390102,"ANNUAL","Annually","GUYG","A","U","NO_COMPONENT",1,2,300000230816980,"GYD",300000231352639,300000002583089,"N","N","Y"
"National GS HK HKD Salary Basis",300000232392969,"ANNUAL","Annually","HKGG","A","U","NO_COMPONENT",1,2,300000230879142,"HKD",300000231383673,300000002583089,"N","N","Y"
"National GS HN HNL Salary Basis",300000232394072,"ANNUAL","Annually","HNDG","A","U","NO_COMPONENT",1,2,300000231043294,"HNL",300000231279469,300000002583089,"N","N","Y"
"National GS HR HRK Salary Basis",300000232392055,"ANNUAL","Annually","HR2G","A","U","NO_COMPONENT",1,2,300000230870638,"HRK",300000231577565,300000002583089,"N","N","Y"
"National GS HR HRK Salary Basis <01/12/20",300000232393408,"ANNUAL","Annually","HRVG","A","U","NO_COMPONENT",1,2,300000230917275,"HRK",300000231577565,300000002583089,"N","N","Y"
"National GS HT HTG Salary Basis",300000232390217,"ANNUAL","Annually","HTIG","A","U","NO_COMPONENT",1,2,300000230881448,"HTG",300000231411618,300000002583089,"N","N","Y"
"National GS HU HUF Salary Basis",300000232394101,"ANNUAL","Annually","HUNG","A","U","NO_COMPONENT",1,2,300000230911130,"HUF",300000231249848,300000002583089,"N","N","Y"
"National GS ID IDR Salary Basis",300000232391979,"ANNUAL","Annually","IDNG","A","U","NO_COMPONENT",1,2,300000230895851,"IDR",300000231557876,300000002583089,"N","N","Y"
"National GS IE EUR Salary Basis",300000232394064,"ANNUAL","Annually","IRLG","A","U","NO_COMPONENT",1,2,300000230779361,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS IL ILS Salary Basis",300000232393756,"ANNUAL","Annually","ISRG","A","U","NO_COMPONENT",1,2,300000230787182,"ILS",300000231552399,300000002583089,"N","N","Y"
"National GS IN ICD INR Salary Basis",300000232394184,"ANNUAL","Annually","INDG","A","U","NO_COMPONENT",1,2,300000230795155,"INR",300000231337664,300000002583089,"N","N","Y"
"National GS IN SXR INR Salary Basis",300000232393666,"ANNUAL","Annually","IN2G","A","U","NO_COMPONENT",1,2,300000230823599,"INR",300000231337664,300000002583089,"N","N","Y"
"National GS IQ USD Salary Basis",300000232392918,"ANNUAL","Annually","IRQG","A","U","NO_COMPONENT",1,2,300000231098020,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS IR USD Salary Basis",300000232394281,"ANNUAL","Annually","IRNG","A","U","NO_COMPONENT",1,2,300000230802320,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS IT BDS EUR Salary Basis",300000232394103,"ANNUAL","Annually","IT4G","A","U","NO_COMPONENT",1,2,300000230761861,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS IT BDS EUR Salary Basis <01/04/15",300000232393037,"ANNUAL","Annually","IT2G","A","U","NO_COMPONENT",1,2,300000230771551,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS IT ROM EUR Salary Basis",300000232392547,"ANNUAL","Annually","IT3G","A","U","NO_COMPONENT",1,2,300000231033540,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS IT ROM EUR Salary Basis <01/02/13",300000232393652,"ANNUAL","Annually","IT1G","A","U","NO_COMPONENT",1,2,300000230874021,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS JM JMD Salary Basis",300000232393561,"ANNUAL","Annually","JAMG","A","U","NO_COMPONENT",1,2,300000230939361,"JMD",300000231266401,300000002583089,"N","N","Y"
"National GS JO JOD Salary Basis",300000232390066,"ANNUAL","Annually","JORG","A","U","NO_COMPONENT",1,2,300000230818782,"JOD",300000231368731,300000002583089,"N","N","Y"
"National GS JP JPY Salary Basis",300000232389846,"ANNUAL","Annually","JPNG","A","U","NO_COMPONENT",1,2,300000230807102,"JPY",300000231528193,300000002583089,"N","N","Y"
"National GS KE KES Salary Basis",300000232391384,"ANNUAL","Annually","KENG","A","U","NO_COMPONENT",1,2,300000230978891,"KES",300000231500791,300000002583089,"N","N","Y"
"National GS KG USD Salary Basis",300000232391818,"ANNUAL","Annually","KGZG","A","U","NO_COMPONENT",1,2,300000231022227,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS KH USD Salary Basis",300000232394079,"ANNUAL","Annually","KHMG","A","U","NO_COMPONENT",1,2,300000230858972,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS KI AUD Salary Basis",300000232391474,"ANNUAL","Annually","KIRG","A","U","NO_COMPONENT",1,2,300000230970048,"AUD",300000231308562,300000002583089,"N","N","Y"
"National GS KM KMF Salary Basis",300000232393978,"ANNUAL","Annually","C2MG","A","U","NO_COMPONENT",1,2,300000231020695,"KMF",300000231308369,300000002583089,"N","N","Y"
"National GS KM KMF Salary Basis <01/05/17",300000232393521,"ANNUAL","Annually","COMG","A","U","NO_COMPONENT",1,2,300000231004967,"KMF",300000231308369,300000002583089,"N","N","Y"
"National GS KP KPW Salary Basis",300000232392308,"ANNUAL","Annually","PRKG","A","U","NO_COMPONENT",1,2,300000231076914,"KPW",300000231280625,300000002583089,"N","N","Y"
"National GS KR KRW Salary Basis",300000232393811,"ANNUAL","Annually","KORG","A","U","NO_COMPONENT",1,2,300000230848202,"KRW",300000231381290,300000002583089,"N","N","Y"
"National GS KW KWD Salary Basis",300000232391880,"ANNUAL","Annually","KWTG","A","U","NO_COMPONENT",1,2,300000230953702,"KWD",300000231574150,300000002583089,"N","N","Y"
"National GS KZ KZT Salary Basis",300000232394221,"ANNUAL","Annually","KAZG","A","U","NO_COMPONENT",1,2,300000231067877,"KZT",300000231582918,300000002583089,"N","N","Y"
"National GS LA USD Salary Basis",300000232392686,"ANNUAL","Annually","LAOG","A","U","NO_COMPONENT",1,2,300000230923086,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS LB LBP Salary Basis",300000232390218,"ANNUAL","Annually","LBNG","A","U","NO_COMPONENT",1,2,300000231004127,"LBP",300000231621189,300000002583089,"N","N","Y"
"National GS LK LKR Salary Basis",300000232394349,"ANNUAL","Annually","LKAG","A","U","NO_COMPONENT",1,2,300000230970318,"LKR",300000231452149,300000002583089,"N","N","Y"
"National GS LR USD Salary Basis",300000232393751,"ANNUAL","Annually","LBRG","A","U","NO_COMPONENT",1,2,300000230978279,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS LS LSL Salary Basis",300000232391469,"ANNUAL","Annually","LSOG","A","U","NO_COMPONENT",1,2,300000231024337,"LSL",300000231617035,300000002583089,"N","N","Y"
"National GS LT EUR Salary Basis",300000232391861,"ANNUAL","Annually","LTUG","A","U","NO_COMPONENT",1,2,300000230942611,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS LV EUR Salary Basis",300000232394239,"ANNUAL","Annually","LVAG","A","U","NO_COMPONENT",1,2,300000230994314,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS LY LYD Salary Basis",300000232392064,"ANNUAL","Annually","LBYG","A","U","NO_COMPONENT",1,2,300000230790660,"LYD",300000231591281,300000002583089,"N","N","Y"
"National GS MA MAD Salary Basis",300000232393427,"ANNUAL","Annually","MARG","A","U","NO_COMPONENT",1,2,300000230946939,"MAD",300000231591794,300000002583089,"N","N","Y"
"National GS MC EUR Salary Basis",300000232394067,"ANNUAL","Annually","MCOG","A","U","NO_COMPONENT",1,2,300000231010766,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS MD MDL Salary Basis",300000232393915,"ANNUAL","Annually","MDAG","A","U","NO_COMPONENT",1,2,300000230828405,"MDL",300000231264430,300000002583089,"N","N","Y"
"National GS ME EUR Salary Basis",300000232394033,"ANNUAL","Annually","MNEG","A","U","NO_COMPONENT",1,2,300000230811643,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS MG MGA Salary Basis",300000232393248,"ANNUAL","Annually","MDGG","A","U","NO_COMPONENT",1,2,300000230819028,"MGA",300000231586707,300000002583089,"N","N","Y"
"National GS MH USD Salary Basis",300000232391399,"ANNUAL","Annually","MHLG","A","U","NO_COMPONENT",1,2,300000230807266,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS MK EUR Salary Basis",300000232393774,"ANNUAL","Annually","MKDG","A","U","NO_COMPONENT",1,2,300000231076997,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS ML XOF Salary Basis",300000232391825,"ANNUAL","Annually","MLIG","A","U","NO_COMPONENT",1,2,300000231075498,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS MM USD Salary Basis",300000232390004,"ANNUAL","Annually","MMRG","A","U","NO_COMPONENT",1,2,300000231002605,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS MN MNT Salary Basis",300000232390187,"ANNUAL","Annually","MNGG","A","U","NO_COMPONENT",1,2,300000231023840,"MNT",300000231656261,300000002583089,"N","N","Y"
"National GS MO MOP Salary Basis",300000232391403,"ANNUAL","Annually","MACG","A","U","NO_COMPONENT",1,2,300000231012029,"MOP",300000231352971,300000002583089,"N","N","Y"
"National GS MR MRU Salary Basis",300000232394423,"ANNUAL","Annually","MRTG","A","U","NO_COMPONENT",1,2,300000231020493,"MRU",300000231635339,300000002583089,"N","N","Y"
"National GS MT EUR Salary Basis",300000232393301,"ANNUAL","Annually","MLTG","A","U","NO_COMPONENT",1,2,300000231028497,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS MU MUR Salary Basis <01/07/20",300000232391496,"ANNUAL","Annually","MUSG","A","U","NO_COMPONENT",1,2,300000230947318,"MUR",300000231322843,300000002583089,"N","N","Y"
"National GS MV MVR Salary Basis",300000232392550,"ANNUAL","Annually","MDVG","A","U","NO_COMPONENT",1,2,300000231061678,"MVR",300000231397944,300000002583089,"N","N","Y"
"National GS MW MWK Salary Basis",300000232391720,"ANNUAL","Annually","MWIG","A","U","NO_COMPONENT",1,2,300000230877393,"MWK",300000231590180,300000002583089,"N","N","Y"
"National GS MX MXN Salary Basis",300000232393641,"ANNUAL","Annually","MEXG","A","U","NO_COMPONENT",1,2,300000231033712,"MXN",300000231366824,300000002583089,"N","N","Y"
"National GS MY MYR Salary Basis",300000232394425,"ANNUAL","Annually","MYSG","A","U","NO_COMPONENT",1,2,300000230865157,"MYR",300000231308691,300000002583089,"N","N","Y"
"National GS MZ USD Salary Basis",300000232389938,"ANNUAL","Annually","MO2G","A","U","NO_COMPONENT",1,2,300000230772233,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS MZ USD Salary Basis <01/12/17",300000232390248,"ANNUAL","Annually","MOZG","A","U","NO_COMPONENT",1,2,300000230942313,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS NA NAD Salary Basis",300000232394074,"ANNUAL","Annually","NAMG","A","U","NO_COMPONENT",1,2,300000230905844,"NAD",300000231396028,300000002583089,"N","N","Y"
"National GS NE XOF Salary Basis",300000232389998,"ANNUAL","Annually","NERG","A","U","NO_COMPONENT",1,2,300000230841384,"XOF",300000231337753,300000002583089,"N","N","Y"
"National GS NG NGN Salary Basis",300000232392458,"ANNUAL","Annually","NGAG","A","U","NO_COMPONENT",1,2,300000230941626,"NGN",300000231250144,300000002583089,"N","N","Y"
"National GS NI NIO Salary Basis",300000232393786,"ANNUAL","Annually","NICG","A","U","NO_COMPONENT",1,2,300000230926824,"NIO",300000231516057,300000002583089,"N","N","Y"
"National GS NL EUR Salary Basis",300000232393752,"ANNUAL","Annually","NLDG","A","U","NO_COMPONENT",1,2,300000230913492,"EUR",300000231295436,300000002583089,"N","N","Y"
"National GS NO NOK Salary Basis",300000232394084,"ANNUAL","Annually","NORG","A","U","NO_COMPONENT",1,2,300000231041739,"NOK",300000231517047,300000002583089,"N","N","Y"
"National GS NP NPR Salary Basis",300000232389932,"ANNUAL","Annually","NPLG","A","U","NO_COMPONENT",1,2,300000230780428,"NPR",300000231381340,300000002583089,"N","N","Y"
"National GS NR AUD Salary Basis",300000232394059,"ANNUAL","Annually","NRUG","A","U","NO_COMPONENT",1,2,300000230798364,"AUD",300000231308562,300000002583089,"N","N","Y"
"National GS OM OMR Salary Basis",300000232392604,"ANNUAL","Annually","OMNG","A","U","NO_COMPONENT",1,2,300000230857115,"OMR",300000231293711,300000002583089,"N","N","Y"
"National GS PA USD Salary Basis",300000232391685,"ANNUAL","Annually","PANG","A","U","NO_COMPONENT",1,2,300000230768554,"USD",300000231685694,300000002583089,"N","N","Y"
"National GS PE PEN Salary Basis",300000232393172,"ANNUAL","Annually","PERG","A","U","NO_COMPONENT",1,2,300000230784870,"PEN",300000231485220,300000002583089,"N","N","Y"
"National GS PG PGK Salary Basis",300000232390057,"ANNUAL","Annually","PNGG","A","U","NO_COMPONENT",1,2,300000231027836,"PGK",300000231250553,300000002583089,"N","N","Y"
