"SalaryBasisName","SalaryBasisId","FrequencyCode","FrequencyName","Code","Status","SalaryBasisType","ComponentUsage","AnnualizationFactor","SalaryAmountScale","GradeRateId","InputCurrencyCode","ElementTypeId","LegislativeDataGroupId","UseAtRelationshipLevel","UseAtTermsLevel","UseAtAssignmentLevel"
"National Volunteer TM Youth USD Salary Basis",300000232394039,"ANNUAL","Annually","TKMD","A","U","NO_COMPONENT",1,2,300000230886521,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer TN Expert TND Salary Basis",300000232393993,"ANNUAL","Annually","TUN1","A","U","NO_COMPONENT",1,2,300000231029542,"TND",300000231348639,300000002583089,"N","N","Y"
"National Volunteer TN Specialist TND Salary Basis",300000232393958,"ANNUAL","Annually","TUNY","A","U","NO_COMPONENT",1,2,300000231078645,"TND",300000231348639,300000002583089,"N","N","Y"
"National Volunteer TN University TND Salary Basis",300000232390213,"ANNUAL","Annually","TUNE","A","U","NO_COMPONENT",1,2,300000230940894,"TND",300000231348639,300000002583089,"N","N","Y"
"National Volunteer TN Youth TND Salary Basis",300000232394348,"ANNUAL","Annually","TUND","A","U","NO_COMPONENT",1,2,300000230894310,"TND",300000231348639,300000002583089,"N","N","Y"
"National Volunteer TO Community Volunteer USD Salary Basis",300000232390127,"ANNUAL","Annually","TONZ","A","U","NO_COMPONENT",1,2,300000231028833,"TOP",300000231701640,300000002583089,"N","N","Y"
"National Volunteer TO Expert TOP Salary Basis",300000232394339,"ANNUAL","Annually","TON1","A","U","NO_COMPONENT",1,2,300000231065646,"TOP",300000231701640,300000002583089,"N","N","Y"
"National Volunteer TO Specialist TOP Salary Basis",300000232392662,"ANNUAL","Annually","TONY","A","U","NO_COMPONENT",1,2,300000230758779,"TOP",300000231701640,300000002583089,"N","N","Y"
"National Volunteer TO University TOP Salary Basis",300000232392535,"ANNUAL","Annually","TONE","A","U","NO_COMPONENT",1,2,300000230939262,"TOP",300000231701640,300000002583089,"N","N","Y"
"National Volunteer TO Youth TOP Salary Basis",300000232393308,"ANNUAL","Annually","TOND","A","U","NO_COMPONENT",1,2,300000230928133,"TOP",300000231701640,300000002583089,"N","N","Y"
"National Volunteer TR Community Volunteer TRY Salary Basis",300000232391439,"ANNUAL","Annually","TURZ","A","U","NO_COMPONENT",1,2,300000231077042,"TRY",300000231294048,300000002583089,"N","N","Y"
"National Volunteer TR Expert TRY Salary Basis",300000232391834,"ANNUAL","Annually","TUR1","A","U","NO_COMPONENT",1,2,300000230789109,"TRY",300000231294048,300000002583089,"N","N","Y"
"National Volunteer TR Specialist TRY Salary Basis",300000232392753,"ANNUAL","Annually","TURY","A","U","NO_COMPONENT",1,2,300000231087640,"TRY",300000231294048,300000002583089,"N","N","Y"
"National Volunteer TR University TRY Salary Basis",300000232393144,"ANNUAL","Annually","TURE","A","U","NO_COMPONENT",1,2,300000231059243,"TRY",300000231294048,300000002583089,"N","N","Y"
"National Volunteer TR Youth TRY Salary Basis",300000232391842,"ANNUAL","Annually","TURD","A","U","NO_COMPONENT",1,2,300000230912532,"TRY",300000231294048,300000002583089,"N","N","Y"
"National Volunteer TT Community Volunteer TTD Salary Basis",300000232389799,"ANNUAL","Annually","TTOZ","A","U","NO_COMPONENT",1,2,300000231016352,"TTD",300000231417187,300000002583089,"N","N","Y"
"National Volunteer TT Expert TTD Salary Basis",300000232391920,"ANNUAL","Annually","TTO1","A","U","NO_COMPONENT",1,2,300000230769153,"TTD",300000231417187,300000002583089,"N","N","Y"
