"ActionId","ActionCode","ActionName","Description","StartDate","EndDate","ActionTypeId","ActionTypeCode","TerminationType"
300000000391509,"RESIGNATION","Resignation","Resignation","1900-01-01","4712-12-31",300000000330857,"EMPL_TERMINATE","VOLUNTARY"
300000000391511,"RETIREMENT","Retirement","Retirement","1900-01-01","4712-12-31",300000000330857,"EMPL_TERMINATE","VOLUNTARY"
300000232394842,"RFL","Return from Leave","Return from Leave","1951-01-01","4712-12-31",300000000330834,"EMPL_CHANGE",
300000000391456,"ORA_EMPL_REV_TERMINATION","Reverse Termination","Reverse Termination","1900-01-01","4712-12-31",300000000330869,"ORA_EMPL_REV_TERMINATION","VOLUNTARY"
300000229936056,"TRANSFER TO ANOTHER AGENCY","Separation - Transfer to another agency",,"1951-01-01","4712-12-31",300000000330857,"EMPL_TERMINATE","VOLUNTARY"
300000000391502,"PROBATION","Start Probation Period","Start Probation Period","1900-01-01","4712-12-31",300000000330853,"EMPL_START_PROBATION",
300000000391512,"SUSP_ASSIGN","Suspend Assignment","Suspend Assignment","1900-01-01","4712-12-31",300000000330854,"EMPL_SUSPEND_ASGN",
300000000391513,"SUSP_EMP_TERMS","Suspend Employment Terms","Suspend Employment Terms","1900-01-01","4712-12-31",300000000330855,"EMPL_SUSPEND_EMP_TERMS",
300000232394838,"SUS","Suspension","Suspension","1951-01-01","4712-12-31",300000000330854,"EMPL_SUSPEND_ASGN",
300000000391458,"ORA_POS_SYNC","Synchronization From Position","Synchronization From Position","0001-01-01","4712-12-31",300000000330848,"EMPL_POS_SYNC",
300000000391460,"ORA_SYNC_POS_TREE","Synchronization from Position Tree","Synchronization from Position Tree","0001-01-01","4712-12-31",300000000330848,"EMPL_POS_SYNC",
300000000391514,"TEMP_ASG","Temporary Assignment","Temporary Assignment","1900-01-01","4712-12-31",300000000330856,"EMPL_TEMP_ASG",
300000000391521,"TERMINATE_PLACEMENT","Terminate Placement","Terminate Placement","1900-01-01","4712-12-31",300000000330857,"EMPL_TERMINATE","VOLUNTARY"
300000000391522,"TERMINATION","Termination","Termination","1900-01-01","4712-12-31",300000000330857,"EMPL_TERMINATE","VOLUNTARY"
300000000391524,"TRANSFER","Transfer","Transfer","1900-01-01","4712-12-31",300000000330858,"EMPL_TRANSFER",
300000000391493,"PER_ORG_UPD","Update","Update","1900-01-01","4712-12-31",300000000330888,"PER_ORG_UPDATE",
300000000391488,"PER_LOC_UPD","Update","Update","1900-01-01","4712-12-31",300000000330886,"PER_LOC_UPDATE",
300000000391485,"PER_JOB_UPD","Update","Update","1900-01-01","4712-12-31",300000000330884,"PER_JOB_UPDATE",
300000000391483,"PER_JOB_FAMILY_UPD","Update","Update","1900-01-01","4712-12-31",300000000330883,"PER_JOB_FAMILY_UPDATE",
300000000391479,"PER_GRD_UPD","Update","Update","1900-01-01","4712-12-31",300000000330879,"PER_GRD_UPDATE",
300000000391473,"PER_GRD_RATE_UPD","Update","Update","1900-01-01","4712-12-31",300000000330878,"PER_GRD_RATE_UPDATE",
300000000391464,"PER_GRD_LDR_UPD","Update","Update","1900-01-01","4712-12-31",300000000330875,"PER_GRD_LDR_UPDATE",
300000000391497,"PER_POS_UPD","Update","Update","1900-01-01","4712-12-31",300000000330891,"PER_POS_UPDATE",
300000000391457,"ORA_EMPL_UPDATE_ASG_EFF","Update Assignment EFF","Action not available in the user interface, but used by the application when updating assignment EFF.","1900-01-01","4712-12-31",300000000330864,"ORA_EMPL_COMMON",
300000000391531,"WORK_HOURS_CHANGE","Working Hours Change","Working Hours Change","1900-01-01","4712-12-31",300000000330837,"EMPL_CHG_WORK_HOURS",
